Category,Details
"GMAT/GRE Waiver","No"
"Recommended Scores - Recommended GMAT","686"
"Recommended Scores - Recommended GRE","392"
"Eligibility","Minimum 2 years of work experience, Bachelor's degree with minimum GPA of 3.0"
"Eligibility URL","https://www.uc.edu/programs/msc marketing/admissions/eligibility"
"Class Profile - Average Work Experience","4 Years"
"Class Profile - Average GRE Score","323"
"Class Profile - Average GPA","3.65"
"Class Profile - Average GMAT Score","697"
"Class Profile - Average Age","28"
"Class Profile URL","https://www.uc.edu/programs/msc marketing/class-profile"
"Employment Statistics - Consulting","$97662"
"Employment Statistics - Finance","$94450"
"Employment Statistics - Marketing","$106485"
"Employment Statistics - Information Technology","$110854"
"Employment Statistics - Average Salary (in $)","$102362"
"Employment Statistics - ROI (3 years avg. salary/Total tuition fee)","579%"
"Deadlines","Round 1: October 13, Round 2: January 3, Round 3: March 11"
"Application Requirements - Essays","Essay 1: Tell us about your career goals and why you want to pursue a MSc Marketing at UC Berkeley - Haas School of Business. (500 words)

Essay 2: Describe a challenge you've faced and how you overcame it. How did this experience shape your leadership style? (400 words)"
"Application Requirements - Letter of Recommendations","1 Letters of Recommendation (1 Academic and 1 Professional)"
"Application Requirements - Resume","Required"
"Application Requirements - Transcripts","Required"
"Application Requirements - Test Scores","GMAT/GRE required"
"Application Requirements - Interview","By invitation only"
""
"University","Columbia Business School"
"University","Columbia Business School"
"Location","Japan"
"Program","MSc Marketing"
"Intake","Fall"
"Duration","10 Months"
"Tuition Fees","USD 59,466"
"GMAT/GRE Waiver","No"
"Recommended Scores - Recommended GMAT","706"
"Recommended Scores - Recommended GRE","395"
"Eligibility","Minimum 2 years of work experience, Bachelor's degree with minimum GPA of 3.0"
"Eligibility URL","https://www.columbia.edu/programs/msc marketing/admissions/eligibility"
"Class Profile - Average Work Experience","5 Years"
"Class Profile - Average GRE Score","315"
"Class Profile - Average GPA","3.59"
"Class Profile - Average GMAT Score","710"
"Class Profile - Average Age","28"
"Class Profile URL","https://www.columbia.edu/programs/msc marketing/class-profile"
"Employment Statistics - Consulting","$93714"
"Employment Statistics - Finance","$114692"
"Employment Statistics - Marketing","$104672"
"Employment Statistics - Information Technology","$125777"
"Employment Statistics - Average Salary (in $)","$109713"
"Employment Statistics - ROI (3 years avg. salary/Total tuition fee)","553%"
"Deadlines","Round 1: October 13, Round 2: January 3, Round 3: March 11"
"Application Requirements - Essays","Essay 1: Tell us about your career goals and why you want to pursue a MSc Marketing at Columbia Business School. (500 words)

Essay 2: Describe a challenge you've faced and how you overcame it. How did this experience shape your leadership style? (400 words)"
"Application Requirements - Letter of Recommendations","1 Letters of Recommendation (1 Academic and 1 Professional)"
"Application Requirements - Resume","Required"
"Application Requirements - Transcripts","Required"
"Application Requirements - Test Scores","GMAT/GRE required"
"Application Requirements - Interview","By invitation only"
""
"University","Carnegie Mellon University - Tepper School of Business"
"University","Carnegie Mellon University - Tepper School of Business"
"Location","Japan"
"Program","MSc Marketing"
"Intake","September, January"
"Duration","15 Months"
"Tuition Fees","USD 63,826"
"GMAT/GRE Waiver","No"
"Recommended Scores - Recommended GMAT","716"
"Recommended Scores - Recommended GRE","396"
"Eligibility","Minimum 2 years of work experience, Bachelor's degree with minimum GPA of 3.0"
"Eligibility URL","https://www.carnegie.edu/programs/msc marketing/admissions/eligibility"
"Class Profile - Average Work Experience","4 Years"
"Class Profile - Average GRE Score","316"
"Class Profile - Average GPA","3.35"
"Class Profile - Average GMAT Score","727"
"Class Profile - Average Age","29"
"Class Profile URL","https://www.carnegie.edu/programs/msc marketing/class-profile"
"Employment Statistics - Consulting","$87411"
"Employment Statistics - Finance","$117082"
"Employment Statistics - Marketing","$107981"
"Employment Statistics - Information Technology","$111755"
"Employment Statistics - Average Salary (in $)","$106057"
"Employment Statistics - ROI (3 years avg. salary/Total tuition fee)","498%"
"Deadlines","Round 1: October 8, Round 2: January 10, Round 3: March 12"
"Application Requirements - Essays","Essay 1: Tell us about your career goals and why you want to pursue a MSc Marketing at Carnegie Mellon University - Tepper School of Business. (500 words)

Essay 2: Describe a challenge you've faced and how you overcame it. How did this experience shape your leadership style? (400 words)"
"Application Requirements - Letter of Recommendations","2 Letters of Recommendation"
"Application Requirements - Resume","Required"
"Application Requirements - Transcripts","Required"
"Application Requirements - Test Scores","GMAT/GRE required"
"Application Requirements - Interview","By invitation only"
""
"University","NYU - Stern School of Business"
"University","NYU - Stern School of Business"
"Location","Japan"
"Program","MSc Marketing"
"Intake","Fall, Spring"
"Duration","12 Months"
"Tuition Fees","USD 61,922"
"GMAT/GRE Waiver","No"
"Recommended Scores - Recommended GMAT","711"
"Recommended Scores - Recommended GRE","395"
"Eligibility","Minimum 2 years of work experience, Bachelor's degree with minimum GPA of 3.0"
"Eligibility URL","https://www.nyu.edu/programs/msc marketing/admissions/eligibility"
"Class Profile - Average Work Experience","5 Years"
"Class Profile - Average GRE Score","319"
"Class Profile - Average GPA","3.50"
"Class Profile - Average GMAT Score","713"
"Class Profile - Average Age","29"
"Class Profile URL","https://www.nyu.edu/programs/msc marketing/class-profile"
"Employment Statistics - Consulting","$92794"
"Employment Statistics - Finance","$103534"
"Employment Statistics - Marketing","$101227"
"Employment Statistics - Information Technology","$120563"
"Employment Statistics - Average Salary (in $)","$104529"
"Employment Statistics - ROI (3 years avg. salary/Total tuition fee)","506%"
"Deadlines","Round 1: October 15, Round 2: January 10, Round 3: March 4"
"Application Requirements - Essays","Essay 1: Tell us about your career goals and why you want to pursue a MSc Marketing at NYU - Stern School of Business. (500 words)

Essay 2: Describe a challenge you've faced and how you overcame it. How did this experience shape your leadership style? (400 words)"
"Application Requirements - Letter of Recommendations","2 Letters of Recommendation (1 Academic and 1 Professional)"
"Application Requirements - Resume","Required"
"Application Requirements - Transcripts","Required"
"Application Requirements - Test Scores","GMAT/GRE required"
"Application Requirements - Interview","By invitation only"
""
"University","Northwestern University - Kellogg School of Management"
"University","Northwestern University - Kellogg School of Management"
"Location","Japan"
"Program","MSc Marketing"
"Intake","September, January"
"Duration","12 Months"
"Tuition Fees","USD 55,450"
"GMAT/GRE Waiver","Yes"
"Recommended Scores - Recommended GMAT","697"
"Recommended Scores - Recommended GRE","394"
"Eligibility","Minimum 2 years of work experience, Bachelor's degree with minimum GPA of 3.0"
"Eligibility URL","https://www.northwestern.edu/programs/msc marketing/admissions/eligibility"
"Class Profile - Average Work Experience","4 Years"
"Class Profile - Average GRE Score","326"
"Class Profile - Average GPA","3.91"
"Class Profile - Average GMAT Score","703"
"Class Profile - Average Age","24"
"Class Profile URL","https://www.northwestern.edu/programs/msc marketing/class-profile"
"Employment Statistics - Consulting","$95239"
"Employment Statistics - Finance","$121091"
"Employment Statistics - Marketing","$109282"
"Employment Statistics - Information Technology","$126464"
"Employment Statistics - Average Salary (in $)","$113019"
"Employment Statistics - ROI (3 years avg. salary/Total tuition fee)","611%"
"Deadlines","Round 1: October 5, Round 2: January 1, Round 3: March 13"
"Application Requirements - Essays","Essay 1: Tell us about your career goals and why you want to pursue a MSc Marketing at Northwestern University - Kellogg School of Management. (500 words)

Essay 2: Describe a challenge you've faced and how you overcame it. How did this experience shape your leadership style? (400 words)"
"Application Requirements - Letter of Recommendations","1 Letters of Recommendation"
"Application Requirements - Resume","Required"
"Application Requirements - Transcripts","Required"
"Application Requirements - Test Scores","GMAT/GRE (can be waived)"
"Application Requirements - Interview","By invitation only"
""
"University","Harvard University"
"University","Harvard University"
"Location","Japan"
"Program","MSBA"
"Intake","September, January"
"Duration","12 Months"
"Tuition Fees","USD 63,395"
"GMAT/GRE Waiver","No"
"Recommended Scores - Recommended GMAT","690"
"Recommended Scores - Recommended GRE","393"
"Eligibility","Minimum 2 years of work experience, Bachelor's degree with minimum GPA of 3.0"
"Eligibility URL","https://www.harvard.edu/programs/msba/admissions/eligibility"
"Class Profile - Average Work Experience","4 Years"
"Class Profile - Average GRE Score","319"
"Class Profile - Average GPA","3.76"
"Class Profile - Average GMAT Score","701"
"Class Profile - Average Age","29"
"Class Profile URL","https://www.harvard.edu/programs/msba/class-profile"
"Employment Statistics - Consulting","$111559"
"Employment Statistics - Finance","$86172"
"Employment Statistics - Marketing","$105224"
"Employment Statistics - Information Technology","$108524"
"Employment Statistics - Average Salary (in $)","$102869"
"Employment Statistics - ROI (3 years avg. salary/Total tuition fee)","486%"
"Deadlines","Round 1: October 5, Round 2: January 8, Round 3: March 11"
"Application Requirements - Essays","Essay 1: Tell us about your career goals and why you want to pursue a MSBA at Harvard University. (500 words)

Essay 2: Describe a challenge you've faced and how you overcame it. How did this experience shape your leadership style? (400 words)"
"Application Requirements - Letter of Recommendations","2 Letters of Recommendation"
"Application Requirements - Resume","Required"
"Application Requirements - Transcripts","Required"
"Application Requirements - Test Scores","GMAT/GRE required"
"Application Requirements - Interview","By invitation only"
""
"University","Stanford University"
"University","Stanford University"
"Location","Japan"
"Program","MSBA"
"Intake","Fall"
"Duration","16 Months"
